Team,FiscalYear,Quarter,Forecast,StdDev
CorpFoundation,2026,1,20433157,0
CorpFoundation,2026,2,8921526,0
CorpFoundation,2026,3,11082289,1845287
CorpFoundation,2026,4,15611459,2599430
CorpFoundation,2027,1,12987007,4108632
CorpFoundation,2027,2,13813740,4370181
CorpFoundation,2027,3,13975575,4421380
CorpFoundation,2027,4,14826602,4690615
CorpFoundation,2028,1,13170192,7916512
CorpFoundation,2028,2,14684737,8826895
CorpFoundation,2028,3,15436089,9278527
CorpFoundation,2028,4,15147948,9105327
CorpFoundation,2029,1,13232987,15113089
CorpFoundation,2029,2,13887744,15860872
CorpFoundation,2029,3,15120446,17268712
CorpFoundation,2029,4,14360678,16401000
Government,2026,1,3000000,0
Government,2026,2,8462500,0
Government,2026,3,0,1
Government,2026,4,4250000,1348681
Government,2027,1,2993719,2850051
Government,2027,2,4157665,3958138
Government,2027,3,7222638,6876024
Government,2027,4,5866183,5584665
Government,2028,1,3851987,11001390
Government,2028,2,5160162,14737577
Government,2028,3,9197009,26266932
Government,2028,4,7632257,21797954
Government,2029,1,5049538,43264896
Government,2029,2,6615070,56678517
Government,2029,3,11645373,99778603
Government,2029,4,10104239,86574025
MajorGifts,2026,1,810000,0
MajorGifts,2026,2,546900,0
MajorGifts,2026,3,2077000,763803
MajorGifts,2026,4,2523680,928067
MajorGifts,2027,1,1513420,1113101
MajorGifts,2027,2,1955095,1437948
MajorGifts,2027,3,1899537,1397085
MajorGifts,2027,4,2303007,1693832
MajorGifts,2028,1,1964642,2889938
MajorGifts,2028,2,2359633,3470960
MajorGifts,2028,3,2448384,3601510
MajorGifts,2028,4,2965602,4362325
MajorGifts,2029,1,2429739,7148167
MajorGifts,2029,2,3106702,9139758
MajorGifts,2029,3,3155583,9283564
MajorGifts,2029,4,3800388,11180547
Marketplace,2026,1,25068954,0
Marketplace,2026,2,19457618,0
Marketplace,2026,3,13386281,636648
Marketplace,2026,4,14593138,694046
Marketplace,2027,1,17010301,1456210
Marketplace,2027,2,17212710,1473537
Marketplace,2027,3,17546615,1502122
Marketplace,2027,4,17957767,1537320
Marketplace,2028,1,16434354,2532428
Marketplace,2028,2,17452098,2689256
Marketplace,2028,3,16802317,2589128
Marketplace,2028,4,18632551,2871156
Marketplace,2029,1,16210283,4496220
Marketplace,2029,2,17285737,4794517
Marketplace,2029,3,17822991,4943534
Marketplace,2029,4,17151484,4757279
