Team,FiscalYear,Quarter,Forecast,StdDev
CorpFoundation,2026,1,23499210,0
CorpFoundation,2026,2,21500000,3505677
CorpFoundation,2026,3,14000000,2282766
CorpFoundation,2026,4,8200000,1337049
CorpFoundation,2027,1,16937522,5247312
CorpFoundation,2027,2,18015738,5581348
CorpFoundation,2027,3,18226802,5646736
CorpFoundation,2027,4,19336703,5990588
CorpFoundation,2028,1,18751912,11037893
CorpFoundation,2028,2,20908344,12307228
CorpFoundation,2028,3,21978130,12936933
CorpFoundation,2028,4,21567871,12695444
CorpFoundation,2029,1,20354961,22764834
CorpFoundation,2029,2,21362107,23891218
CorpFoundation,2029,3,23258247,26011847
CorpFoundation,2029,4,22089574,24704812
Government,2026,1,3000000,0
Government,2026,2,6900000,2317154
Government,2026,3,1800000,604475
Government,2026,4,2000000,671639
Government,2027,1,2610276,2629744
Government,2027,2,3625140,3652177
Government,2027,3,6297543,6344512
Government,2027,4,5114826,5152974
Government,2028,1,3358614,10150991
Government,2028,2,4499234,13598373
Government,2028,3,8019031,24236517
Government,2028,4,6654697,20112988
Government,2029,1,4402779,39920550
Government,2029,2,5767794,52297308
Government,2029,3,10153802,92065788
Government,2029,4,8810060,79881914
MajorGifts,2026,1,810000,0
MajorGifts,2026,2,1600000,753140
MajorGifts,2026,3,1400000,658998
MajorGifts,2026,4,1700000,800211
MajorGifts,2027,1,1399720,1317732
MajorGifts,2027,2,1808213,1702298
MajorGifts,2027,3,1756828,1653923
MajorGifts,2027,4,2129987,2005224
MajorGifts,2028,1,1817043,3421220
MajorGifts,2028,2,2182359,4109056
MajorGifts,2028,3,2264442,4263606
MajorGifts,2028,4,2742803,5164288
MajorGifts,2029,1,2247198,8462275
MajorGifts,2029,2,2873302,10819997
MajorGifts,2029,3,2918511,10990240
MajorGifts,2029,4,3514873,13235961
Marketplace,2026,1,25121098,0
Marketplace,2026,2,22000000,1054359
Marketplace,2026,3,13500000,646993
Marketplace,2026,4,13800000,661370
Marketplace,2027,1,17936299,1547287
Marketplace,2027,2,18149726,1565699
Marketplace,2027,3,18501808,1596071
Marketplace,2027,4,18935343,1633471
Marketplace,2028,1,17803306,2764466
Marketplace,2028,2,18905827,2935664
Marketplace,2028,3,18201919,2826362
Marketplace,2028,4,20184609,3134231
Marketplace,2029,1,18038839,5041871
Marketplace,2029,2,19235607,5376369
Marketplace,2029,3,19833464,5543471
Marketplace,2029,4,19086210,5334612
