Year,Month,Quarter,Team,Amount,Count
2020,11,4,CorpFoundation,5657710.97,39
2020,11,4,Government,500000,1
2020,11,4,Marketplace,4244297.88,0
2020,10,4,CorpFoundation,3655669.9,36
2020,10,4,Marketplace,5737878.09,0
2020,9,3,CorpFoundation,4871068.8,35
2020,9,3,Marketplace,10031603.38,0
2020,8,3,CorpFoundation,3377858.53,31
2020,8,3,Marketplace,12443143,0
2020,7,3,CorpFoundation,12191597.4,33
2020,7,3,Marketplace,4840107.11,0
2020,6,2,CorpFoundation,4451657,23
2020,6,2,Marketplace,3769673.17,0
2020,5,2,CorpFoundation,9057314.33,28
2020,5,2,Marketplace,7142500.85,0
2020,4,2,CorpFoundation,7132298.08,42
2020,4,2,Marketplace,2399987.96,0
2020,3,1,CorpFoundation,5882564,19
2020,3,1,Marketplace,5967880.5,0
2020,2,1,CorpFoundation,1534462.36,12
2020,2,1,Marketplace,4733420.66,0
2020,1,1,CorpFoundation,3541312.28,20
2020,1,1,Marketplace,5543923.47,0
2019,12,4,CorpFoundation,9818794.95,35
2019,12,4,Marketplace,11913999.65,0
2019,11,4,CorpFoundation,3589100.82,48
2019,11,4,Marketplace,5410301,0
2019,10,4,CorpFoundation,1712650.11,31
2019,10,4,Marketplace,6595496.17,0
2019,9,3,CorpFoundation,7586724.96,41
2019,9,3,Marketplace,6599169.5,0
2019,8,3,CorpFoundation,8574682.63,35
2019,8,3,Marketplace,15386596.04,0
2019,7,3,CorpFoundation,2815418.37,24
2019,7,3,Marketplace,5091039.83,0
2019,6,2,CorpFoundation,3893625,19
2019,6,2,Marketplace,3233094.19,0
2019,5,2,CorpFoundation,4983730.14,23
2019,5,2,Marketplace,6504638.78,0
2019,4,2,CorpFoundation,5708238.09,21
2019,4,2,Marketplace,4344794.88,0
2019,3,1,CorpFoundation,7485749.07,22
2019,3,1,Marketplace,4521431.23,0
2019,2,1,CorpFoundation,1255082.39,16
2019,2,1,Marketplace,6446953.87,0
2019,1,1,CorpFoundation,2317250.86,33
2019,1,1,Marketplace,5341860.66,0
2018,12,4,CorpFoundation,10185556.11,38
2018,12,4,Marketplace,7528641.58,0
2018,11,4,CorpFoundation,6088076.08,43
2018,11,4,Marketplace,6731845.54,0
2018,10,4,CorpFoundation,3085043.39,34
2018,10,4,Marketplace,6757569.04,0
2018,9,3,CorpFoundation,8331478.94,40
2018,9,3,Marketplace,8352354.58,0
2018,8,3,CorpFoundation,15786407.79,34
2018,8,3,Marketplace,12692207.22,0
2018,7,3,CorpFoundation,841087.27,22
2018,7,3,Marketplace,5495432.76,0
2018,6,2,CorpFoundation,6093941.7,23
2018,6,2,Marketplace,3488946.95,0
2018,5,2,CorpFoundation,1603680,13
