Year,Month,Quarter,Team,Amount,Count
2015,9,3,CorpFoundation,6918680.57,34
2015,10,4,CorpFoundation,3965950.28,49
2015,11,4,CorpFoundation,4654341.89,44
2015,12,4,CorpFoundation,1922023.36,33
2016,1,1,CorpFoundation,3504093.68,30
2016,2,1,CorpFoundation,7492541.4,36
2016,3,1,CorpFoundation,6584810.18,34
2016,4,2,CorpFoundation,796766,9
2016,5,2,CorpFoundation,3176475,15
2016,6,2,CorpFoundation,234541.92,7
2016,7,3,CorpFoundation,17663530.51,45
2016,8,3,CorpFoundation,2250620.12,28
2016,9,3,CorpFoundation,5159493.6,34
2016,10,4,CorpFoundation,4855202.75,30
2016,11,4,CorpFoundation,7806677.98,30
2016,12,4,CorpFoundation,8304714.9,27
2017,1,1,CorpFoundation,1826385.19,31
2017,2,1,CorpFoundation,728499.97,20
2017,3,1,CorpFoundation,2823075.18,20
2017,4,2,CorpFoundation,3376850,15
2017,5,2,CorpFoundation,3631130.95,20
2017,6,2,CorpFoundation,3250408,15
2017,7,3,CorpFoundation,17762440.78,28
2017,8,3,CorpFoundation,5748580.54,35
2017,9,3,CorpFoundation,4733793.95,47
2017,10,4,CorpFoundation,3078395.77,37
2017,11,4,CorpFoundation,5099125.27,46
2017,12,4,CorpFoundation,4003452.39,39
2018,1,1,CorpFoundation,4055901,27
2018,2,1,CorpFoundation,3545906.97,19
2018,3,1,CorpFoundation,29068721.41,16
2018,4,2,CorpFoundation,3192459,25
2018,5,2,CorpFoundation,1603680,13
2018,6,2,CorpFoundation,6093941.7,23
2018,7,3,CorpFoundation,841087.27,22
2018,8,3,CorpFoundation,15786407.79,34
2018,9,3,CorpFoundation,8331478.94,40
2018,10,4,CorpFoundation,3085043.39,34
2018,11,4,CorpFoundation,6088076.08,43
2018,12,4,CorpFoundation,10185556.11,38
2019,1,1,CorpFoundation,2317250.86,33
2019,2,1,CorpFoundation,1255082.39,16
2019,3,1,CorpFoundation,7485749.07,22
2019,4,2,CorpFoundation,5708238.09,21
2019,5,2,CorpFoundation,4983730.14,23
2019,6,2,CorpFoundation,3893625,19
2019,7,3,CorpFoundation,2815418.37,24
2019,8,3,CorpFoundation,8574682.63,35
2019,9,3,CorpFoundation,7586724.96,41
2019,10,4,CorpFoundation,1712650.11,31
2019,11,4,CorpFoundation,3589100.82,48
2019,12,4,CorpFoundation,9818794.95,35
2020,1,1,CorpFoundation,3541312.28,20
2020,2,1,CorpFoundation,1534462.36,12
2020,3,1,CorpFoundation,5882564,19
2020,4,2,CorpFoundation,7132298.08,42
2020,5,2,CorpFoundation,9057314.33,28
